# b'S_22p5_45_M'
# q I errors
2.522757157477549875e-02 8.391559123992919922e-01 1.962351379916071892e-03
2.533994380988521117e-02 8.362924456596374512e-01 1.951412879861891270e-03
2.545231604499492706e-02 8.265854716300964355e-01 1.940198475494980812e-03
2.556468828010464295e-02 8.192831873893737793e-01 1.924594980664551258e-03
2.567706051521435884e-02 8.131569623947143555e-01 1.911787199787795544e-03
2.578943275032407126e-02 8.073815703392028809e-01 1.903159427456557751e-03
2.590180498543378368e-02 8.027440905570983887e-01 1.893057487905025482e-03
2.601417722054349957e-02 8.000627756118774414e-01 1.882826560176908970e-03
2.612654945565321546e-02 7.896456122398376465e-01 1.868483261205255985e-03
2.623892169076293135e-02 7.851888537406921387e-01 1.859627198427915573e-03
2.635129392587264377e-02 7.790875434875488281e-01 1.846359577029943466e-03
2.646366616098235966e-02 7.708560824394226074e-01 1.832454581744968891e-03
2.657603839609207208e-02 7.656694650650024414e-01 1.826819265261292458e-03
2.668841063120178797e-02 7.626386284828186035e-01 1.816183677874505520e-03
2.680078286631150386e-02 7.574480175971984863e-01 1.805481384508311749e-03
2.691315510142121975e-02 7.507510185241699219e-01 1.796668278984725475e-03
2.702552733653093217e-02 7.468572258949279785e-01 1.785489264875650406e-03
2.713789957164064806e-02 7.398657798767089844e-01 1.774486154317855835e-03
2.725027180675036048e-02 7.358155846595764160e-01 1.767294364981353283e-03
2.736264404186007637e-02 7.307177186012268066e-01 1.755409757606685162e-03
2.747501627696979226e-02 7.243490219116210938e-01 1.743649947457015514e-03
2.758738851207950815e-02 7.216774821281433105e-01 1.739844330586493015e-03
2.769976074718922057e-02 7.172257304191589355e-01 1.728832954540848732e-03
2.781213298229893646e-02 7.118113636970520020e-01 1.721161184832453728e-03
2.792450521740864888e-02 7.059972882270812988e-01 1.711840857751667500e-03
2.803687745251836477e-02 7.016535401344299316e-01 1.700610038824379444e-03
2.814924968762808066e-02 6.972650289535522461e-01 1.693438040092587471e-03
2.826162192273779655e-02 6.885860562324523926e-01 1.679934212006628513e-03
2.837399415784750897e-02 6.864426136016845703e-01 1.671040779910981655e-03
2.848636639295722486e-02 6.826143860816955566e-01 1.666786265559494495e-03
2.859873862806693728e-02 6.768187880516052246e-01 1.656107255257666111e-03
2.871111086317665317e-02 6.750163435935974121e-01 1.648356090299785137e-03
2.882348309828636906e-02 6.705043315887451172e-01 1.643000170588493347e-03
2.893585533339608495e-02 6.632925271987915039e-01 1.628694706596434116e-03
2.904822756850579737e-02 6.620053052902221680e-01 1.624017022550106049e-03
2.916059980361551326e-02 6.567836999893188477e-01 1.617635716684162617e-03
2.927297203872522569e-02 6.524113416671752930e-01 1.608273829333484173e-03
2.938534427383494158e-02 6.450149416923522949e-01 1.594121567904949188e-03
