# b'S_22p5_45_M'
# q I errors
4.062256778480641262e-02 3.690567612648010254e-01 1.151954405941069126e-03
4.073494001991612157e-02 3.661090135574340820e-01 1.149179181084036827e-03
4.084731225502584440e-02 3.634314239025115967e-01 1.145925256423652172e-03
4.095968449013555335e-02 3.626414835453033447e-01 1.140934997238218784e-03
4.107205672524527618e-02 3.599329888820648193e-01 1.137544866651296616e-03
4.118442896035498513e-02 3.590846955776214600e-01 1.137208659201860428e-03
4.129680119546470102e-02 3.554304242134094238e-01 1.128539675846695900e-03
4.140917343057441691e-02 3.535706698894500732e-01 1.126510440371930599e-03
4.152154566568412586e-02 3.522375524044036865e-01 1.125585171394050121e-03
4.163391790079384869e-02 3.504669070243835449e-01 1.119297579862177372e-03
4.174629013590355764e-02 3.486048281192779541e-01 1.116698724217712879e-03
4.185866237101328047e-02 3.498677611351013184e-01 1.119611784815788269e-03
4.197103460612298942e-02 3.465887308120727539e-01 1.111377612687647343e-03
4.208340684123269837e-02 3.458972275257110596e-01 1.110440352931618690e-03
4.219577907634242120e-02 3.416940569877624512e-01 1.104763010516762733e-03
4.230815131145213015e-02 3.405560553073883057e-01 1.099467976018786430e-03
4.242052354656185298e-02 3.380565047264099121e-01 1.095658051781356335e-03
4.253289578167156193e-02 3.364478647708892822e-01 1.095017651095986366e-03
4.264526801678127782e-02 3.351689875125885010e-01 1.091492478735744953e-03
4.275764025189099371e-02 3.327987492084503174e-01 1.085017225705087185e-03
4.287001248700070266e-02 3.316952884197235107e-01 1.085396739654242992e-03
4.298238472211042549e-02 3.305620551109313965e-01 1.080580055713653564e-03
4.309475695722013444e-02 3.283831477165222168e-01 1.076441956683993340e-03
