# b'S_10_45_M'
# q I errors
2.522757157477549875e-02 8.443676233291625977e-01 1.784912776201963425e-03
2.533994380988521117e-02 8.335096836090087891e-01 1.766433939337730408e-03
2.545231604499492706e-02 8.306877017021179199e-01 1.763636246323585510e-03
2.556468828010464295e-02 8.244171738624572754e-01 1.751019502989947796e-03
2.567706051521435884e-02 8.203861117362976074e-01 1.742178224958479404e-03
2.578943275032407126e-02 8.094014525413513184e-01 1.727812923491001129e-03
2.590180498543378368e-02 8.067294955253601074e-01 1.721324282698333263e-03
2.601417722054349957e-02 8.002102375030517578e-01 1.708657830022275448e-03
2.612654945565321546e-02 7.947543859481811523e-01 1.700127497315406799e-03
2.623892169076293135e-02 7.861078381538391113e-01 1.687522279098629951e-03
2.635129392587264377e-02 7.822023034095764160e-01 1.677911612205207348e-03
2.646366616098235966e-02 7.749412655830383301e-01 1.666588825173676014e-03
2.657603839609207208e-02 7.717144489288330078e-01 1.663943869061768055e-03
2.668841063120178797e-02 7.646073698997497559e-01 1.648277160711586475e-03
2.680078286631150386e-02 7.593895792961120605e-01 1.639344962313771248e-03
2.691315510142121975e-02 7.562574744224548340e-01 1.635386259295046329e-03
2.702552733653093217e-02 7.463341951370239258e-01 1.618372742086648941e-03
2.713789957164064806e-02 7.413225173950195312e-01 1.611351035535335541e-03
2.725027180675036048e-02 7.405473589897155762e-01 1.608118065632879734e-03
2.736264404186007637e-02 7.324092984199523926e-01 1.593524822965264320e-03
2.747501627696979226e-02 7.266054749488830566e-01 1.583816017955541611e-03
2.758738851207950815e-02 7.202123403549194336e-01 1.575950300320982933e-03
2.769976074718922057e-02 7.187458276748657227e-01 1.569290994666516781e-03
2.781213298229893646e-02 7.133960723876953125e-01 1.561562879942357540e-03
2.792450521740864888e-02 7.079604268074035645e-01 1.554690417833626270e-03
2.803687745251836477e-02 7.043508887290954590e-01 1.545511651784181595e-03
2.814924968762808066e-02 6.991676092147827148e-01 1.537401461973786354e-03
2.826162192273779655e-02 6.958618760108947754e-01 1.531699090264737606e-03
2.837399415784750897e-02 6.895869374275207520e-01 1.518028089776635170e-03
